cluster_id,block,tr_code,tr_label
1,1,3,Nutrition + WSH
2,1,4,Nutrition
3,1,1,WSH
4,1,8,Sanitation
5,1,5,Handwashing
6,1,6,Control
7,1,7,Water
8,1,2,Control
9,2,5,Handwashing
10,2,2,Control
11,2,3,Nutrition + WSH
12,2,8,Sanitation
13,2,1,WSH
14,2,7,Water
15,2,6,Control
16,2,4,Nutrition
17,3,3,Nutrition + WSH
18,3,2,Control
19,3,1,WSH
20,3,8,Sanitation
21,3,5,Handwashing
22,3,7,Water
23,3,6,Control
24,3,4,Nutrition
25,4,8,Sanitation
26,4,5,Handwashing
27,4,7,Water
28,4,2,Control
29,4,1,WSH
30,4,6,Control
31,4,3,Nutrition + WSH
32,4,4,Nutrition
33,5,6,Control
34,5,7,Water
35,5,5,Handwashing
36,5,8,Sanitation
37,5,4,Nutrition
38,5,2,Control
39,5,1,WSH
40,5,3,Nutrition + WSH
41,6,4,Nutrition
42,6,2,Control
43,6,7,Water
44,6,1,WSH
45,6,3,Nutrition + WSH
46,6,5,Handwashing
47,6,8,Sanitation
48,6,6,Control
49,7,7,Water
50,7,1,WSH
51,7,5,Handwashing
52,7,6,Control
53,7,2,Control
54,7,8,Sanitation
55,7,4,Nutrition
56,7,3,Nutrition + WSH
57,8,1,WSH
58,8,8,Sanitation
59,8,5,Handwashing
60,8,3,Nutrition + WSH
61,8,6,Control
62,8,4,Nutrition
63,8,2,Control
64,8,7,Water
65,9,2,Control
66,9,3,Nutrition + WSH
67,9,5,Handwashing
68,9,1,WSH
69,9,4,Nutrition
70,9,8,Sanitation
71,9,6,Control
72,9,7,Water
73,10,3,Nutrition + WSH
74,10,4,Nutrition
75,10,8,Sanitation
76,10,2,Control
77,10,1,WSH
78,10,6,Control
79,10,5,Handwashing
80,10,7,Water
81,11,3,Nutrition + WSH
82,11,7,Water
83,11,8,Sanitation
84,11,5,Handwashing
85,11,6,Control
86,11,4,Nutrition
87,11,2,Control
88,11,1,WSH
89,12,6,Control
90,12,5,Handwashing
91,12,8,Sanitation
92,12,4,Nutrition
93,12,3,Nutrition + WSH
94,12,2,Control
95,12,7,Water
96,12,1,WSH
97,13,4,Nutrition
98,13,8,Sanitation
99,13,3,Nutrition + WSH
100,13,7,Water
101,13,1,WSH
102,13,2,Control
103,13,6,Control
104,13,5,Handwashing
105,14,4,Nutrition
106,14,3,Nutrition + WSH
107,14,7,Water
108,14,8,Sanitation
109,14,1,WSH
110,14,2,Control
111,14,5,Handwashing
112,14,6,Control
113,15,7,Water
114,15,6,Control
115,15,8,Sanitation
116,15,4,Nutrition
117,15,2,Control
118,15,3,Nutrition + WSH
119,15,1,WSH
120,15,5,Handwashing
121,16,1,WSH
122,16,2,Control
123,16,8,Sanitation
124,16,6,Control
125,16,5,Handwashing
126,16,3,Nutrition + WSH
127,16,7,Water
128,16,4,Nutrition
129,17,6,Control
130,17,1,WSH
131,17,5,Handwashing
132,17,3,Nutrition + WSH
133,17,2,Control
134,17,7,Water
135,17,8,Sanitation
136,17,4,Nutrition
137,18,5,Handwashing
138,18,6,Control
139,18,3,Nutrition + WSH
140,18,8,Sanitation
141,18,1,WSH
142,18,7,Water
143,18,4,Nutrition
144,18,2,Control
145,19,4,Nutrition
146,19,5,Handwashing
147,19,2,Control
148,19,3,Nutrition + WSH
149,19,8,Sanitation
150,19,1,WSH
151,19,7,Water
152,19,6,Control
153,20,6,Control
154,20,1,WSH
155,20,3,Nutrition + WSH
156,20,2,Control
157,20,7,Water
158,20,5,Handwashing
159,20,4,Nutrition
160,20,8,Sanitation
161,21,1,WSH
162,21,3,Nutrition + WSH
163,21,7,Water
164,21,4,Nutrition
165,21,6,Control
166,21,2,Control
167,21,8,Sanitation
168,21,5,Handwashing
169,22,1,WSH
170,22,8,Sanitation
171,22,2,Control
172,22,6,Control
173,22,4,Nutrition
174,22,7,Water
175,22,5,Handwashing
176,22,3,Nutrition + WSH
177,23,8,Sanitation
178,23,5,Handwashing
179,23,1,WSH
180,23,3,Nutrition + WSH
181,23,4,Nutrition
182,23,7,Water
183,23,2,Control
184,23,6,Control
185,24,8,Sanitation
186,24,2,Control
187,24,1,WSH
188,24,6,Control
189,24,7,Water
190,24,4,Nutrition
191,24,3,Nutrition + WSH
192,24,5,Handwashing
193,25,2,Control
194,25,4,Nutrition
195,25,8,Sanitation
196,25,6,Control
197,25,7,Water
198,25,1,WSH
199,25,3,Nutrition + WSH
200,25,5,Handwashing
201,26,4,Nutrition
202,26,8,Sanitation
203,26,5,Handwashing
204,26,1,WSH
205,26,7,Water
206,26,2,Control
207,26,3,Nutrition + WSH
208,26,6,Control
209,27,3,Nutrition + WSH
210,27,7,Water
211,27,4,Nutrition
212,27,2,Control
213,27,1,WSH
214,27,6,Control
215,27,8,Sanitation
216,27,5,Handwashing
217,28,1,WSH
218,28,3,Nutrition + WSH
219,28,8,Sanitation
220,28,7,Water
221,28,6,Control
222,28,4,Nutrition
223,28,2,Control
224,28,5,Handwashing
225,29,8,Sanitation
226,29,2,Control
227,29,3,Nutrition + WSH
228,29,5,Handwashing
229,29,1,WSH
230,29,6,Control
231,29,4,Nutrition
232,29,7,Water
233,30,2,Control
234,30,3,Nutrition + WSH
235,30,1,WSH
236,30,6,Control
237,30,7,Water
238,30,8,Sanitation
239,30,5,Handwashing
240,30,4,Nutrition
241,31,4,Nutrition
242,31,8,Sanitation
243,31,2,Control
244,31,3,Nutrition + WSH
245,31,6,Control
246,31,5,Handwashing
247,31,7,Water
248,31,1,WSH
249,32,7,Water
250,32,4,Nutrition
251,32,1,WSH
252,32,3,Nutrition + WSH
253,32,2,Control
254,32,6,Control
255,32,5,Handwashing
256,32,8,Sanitation
257,33,7,Water
258,33,6,Control
259,33,8,Sanitation
260,33,5,Handwashing
261,33,4,Nutrition
262,33,1,WSH
263,33,3,Nutrition + WSH
264,33,2,Control
265,34,6,Control
266,34,8,Sanitation
267,34,3,Nutrition + WSH
268,34,1,WSH
269,34,2,Control
270,34,5,Handwashing
271,34,4,Nutrition
272,34,7,Water
273,35,8,Sanitation
274,35,4,Nutrition
275,35,1,WSH
276,35,3,Nutrition + WSH
277,35,5,Handwashing
278,35,7,Water
279,35,2,Control
280,35,6,Control
281,36,1,WSH
282,36,7,Water
283,36,4,Nutrition
284,36,2,Control
285,36,5,Handwashing
286,36,6,Control
287,36,3,Nutrition + WSH
288,36,8,Sanitation
289,37,2,Control
290,37,1,WSH
291,37,3,Nutrition + WSH
292,37,7,Water
293,37,6,Control
294,37,5,Handwashing
295,37,8,Sanitation
296,37,4,Nutrition
297,38,4,Nutrition
298,38,1,WSH
299,38,8,Sanitation
300,38,6,Control
301,38,7,Water
302,38,3,Nutrition + WSH
303,38,5,Handwashing
304,38,2,Control
305,39,1,WSH
306,39,4,Nutrition
307,39,6,Control
308,39,7,Water
309,39,5,Handwashing
310,39,8,Sanitation
311,39,3,Nutrition + WSH
312,39,2,Control
313,40,3,Nutrition + WSH
314,40,5,Handwashing
315,40,6,Control
316,40,7,Water
317,40,1,WSH
318,40,2,Control
319,40,4,Nutrition
320,40,8,Sanitation
321,41,2,Control
322,41,8,Sanitation
323,41,4,Nutrition
324,41,3,Nutrition + WSH
325,41,6,Control
326,41,7,Water
327,41,1,WSH
328,41,5,Handwashing
329,42,8,Sanitation
330,42,1,WSH
331,42,2,Control
332,42,7,Water
333,42,5,Handwashing
334,42,3,Nutrition + WSH
335,42,4,Nutrition
336,42,6,Control
337,43,1,WSH
338,43,6,Control
339,43,4,Nutrition
340,43,7,Water
341,43,5,Handwashing
342,43,3,Nutrition + WSH
343,43,2,Control
344,43,8,Sanitation
345,44,5,Handwashing
346,44,7,Water
347,44,4,Nutrition
348,44,1,WSH
349,44,2,Control
350,44,8,Sanitation
351,44,3,Nutrition + WSH
352,44,6,Control
353,45,6,Control
354,45,7,Water
355,45,1,WSH
356,45,3,Nutrition + WSH
357,45,8,Sanitation
358,45,5,Handwashing
359,45,4,Nutrition
360,45,2,Control
361,46,7,Water
362,46,2,Control
